"PP","Old_PP","PEACE PROCESS"
"52","58","India-Nagaland peace process"
"53","59","India-Pakistan border and related process"
"54","60","India-Tripura peace process"
"55","61","Indonesia-Aceh peace process"
"56","62","Moluccas peace process"
"57","63","East Timor-Indonesia peace process"
"58","64","Iraq peace process - first Iraq war"
"59","65","Iraq peace process - second Iraq war"
"60","66","Rwanda-1990s international agreements"
"61","67","Casamance process"
"62","68","Northern Ireland peace process"
"63","69","Israel-Palestine peace process"
"64","70","Israel-Lebanon peace process"
"65","71","Kenya peace process"
"66","72","Lebanon peace process"
"67","73","Lebanon-Syria conflict resolution process"
"68","74","Lesotho process"
"69","75","Liberia peace process"
"70","76","Libyan peace process"
"71","77","Sierra Leone peace process"
"72","78","Libyan local processes"
"73","79","Madagascar peace process"
"74","81","Mali-Azawad Inter-Azawad peace process"
"75","82","Mexico-Chiapas peace process"
"76","83","Moldova Transdniestria process"
"77","84","Morocco-Western Sahara peace process"
"78","85","Mozambique process in the 90s"
"79","86","Mozambique process - recent"
"80","87","Myanmar ceasefires process with ethnic armed groups"
"81","88","Nepal peace process"
"82","89","Solomon Islands peace process"
"83","90","Niger peace process"
"84","91","North Korea - South Korea interstate process"
"85","92","Eastern Sudanese Peace Process"
"86","93","Pakistan-Taliban process"
"87","94","Somalia Peace Process"
"88","95","Philippines-NDF process"
"89","96","Philippines - Cordillera process"
"90","97","Philippines - Mindanao process"
"91","98","RAM process"
"92","99","Republic of Congo peace process"
"93","100","Chechnya peace process"
"94","102","Guinea peace process"
"95","103","Saudi Arabia - Yemen Border process"
"96","104","Kurdistan/Iraq territorial conflict"
"97","106","Colombia I - Gaviria"
"98","107","Colombia II - Samper"
"99","108","Colombia III - Arango"
"100","109","Colombia IV - Uribe"
"101","110","Colombia V - Santos"
"102","111","Somalia-Puntland Peace Process"
"103","112","Somali Local Peace Processes"
"104","113","Somaliland-Puntland Peace Process"
"105","114","South Africa peace process"
"106","115","South Africa - Namibia process"
"107","116","South Sudan post-secession process"
"108","117","Intra-Kurdish process"
"109","118","Sudanese (North-South) peace process"
"110","119","North - South Sudan secession process"
"111","120","Kordofan - Blue Nile - Abyei process"
"112","122","Spain - Basque internal process"
"113","123","Sri Lanka Kumaratunga/Devolution Processes "
"114","124","Sri Lanka LTTE 2002 onward process"
"115","130","Syrian peace process"
"116","131","Tajikistan peace process"
"117","132","Thailand peace process"
"118","133","Togo peace process"
"119","134","Tunisia reform process"
"120","135","Uganda peace process"
"121","136","Ukraine peace process"
"122","137","Yemen unification process"
"123","138","Yemen peace process"
"124","139","Zimbabwe post-election process"
"125","140","Bosnia peace process"
"126","141","Dissolution of Yugoslavia"
"127","145","Croatia negotiation process"
"128","148","Bosnia Local peace processes"
"129","149","Kosovo process"
"130","150","Presevo Valley process"
"131","151","Macedonia peace process"
"132","170","India-Assam agreement"
"133","174","Intra-Syrian Process (state/non-state)"
"134","175","Chad-Sudan Agreements"
"135","176","India - Manipur"
"136","177","Nigeria - Plateau State Process"
"137","178","Cabinda process"
"138","179","Syrian Local Agreements"
"139","200","Post-WWII Germany normalisation process "
"140","180","Kenya Local Agreements"
"141","9","Burundi: 2015 onwards process"
"142","14","Gabon: Transition II process"
"143","15","Palestine: Fatah-Hamas process"
"144","38","Colombia VI - Government-ELN post-2015 process"
"145","45","Yemen Inter-group Agreements"
"146","201","Kosovo-Serbia Normalisation Process"
"147","181","Philippines-Mindanao: Local Processes"
"148","202","Burundi: Local Process"
"149","50","Niger local agreements"
"150","101","DRC: local agreements (East)"
"151","105","South Sudan: Local agreements"
"152","121","Nigeria - local agreements"
"153","203","Mali-Dogon-Fulani Local Conflict"
"154","204","CAR: African Initiative (and related) Process"
"155","205","CAR: Local Processes"
"156","206","Sudan Transition Process"
"","",""
